partner_codes
004
008
00A
00B
00C
00D
00E
00F
00G
00H
00I
00J
00K
00L
00M
00N
00O
00P
00Q
00R
00S
00T
00U
00V
00W
00X
00Y
00Z
012
01A
01B
01C
01D
01E
01F
01G
01H
01I
01J
01K
01L
01M
01N
01O
01P
01Q
01R
01S
01T
01U
01V
01W
01X
01Y
020
028
02B
02C
02D
02E
02F
02H
02I
02J
02N
02P
02S
02U
02V
02W
02X
02Y
02Z
031
032
036
03A
03B
03D
03E
03F
03G
03K
03L
03M
03N
03O
03P
03Q
03R
03S
03T
03U
03V
03W
03X
03Y
044
048
04B
04C
04D
04E
04H
04I
04L
04M
04Q
050
051
052
05F
05G
05H
05I
05J
05K
05L
05O
05P
05Q
05R
05S
05T
05U
05V
064
068
06K
06L
06M
06N
06O
06P
06Q
06R
06S
070
072
076
07D
07E
07F
07G
07H
07I
07J
07K
07L
07M
07N
07Q
07R
07S
07T
084
090
096
100
104
108
112
116
120
124
144
152
156
158
170
174
178
180
188
191
192
196
203
212
214
218
222
226
23
231
232
233
234
242
254
268
274
275
288
304
308
320
328
332
340
344
348
352
356
360
364
368
376
384
388
392
398
400
404
408
410
412
414
417
418
422
426
428
434
438
440
446
450
454
458
470
478
480
484
496
498
499
500
504
508
512
516
520
524
530
532
533
554
558
578
579
586
591
598
600
604
608
616
620
634
642
643
646
659
662
670
674
682
686
688
690
702
703
704
705
710
716
729
732
736
740
748
756
757
760
762
764
776
780
784
788
792
795
800
804
807
818
826
834
840
842
858
860
862
882
890
891
894
895
898
918
A01
A02
A03
A04
A05
A07
A08
A09
A10
A11
A12
A13
A14
A15
A16
A17
A18
A19
A20
A21
A22
A23
A24
A25
A26
A27
A28
A29
A30
A31
A32
A33
A34
A35
A36
A37
A38
A39
A40
A41
A42
A43
A44
A45
A46
A47
A48
A49
A50
A51
A52
A53
A54
A55
A56
A57
A58
A59
A60
A61
A62
A63
A64
A65
A66
A67
A68
A69
A70
A71
A72
A74
A75
A76
A77
A78
A79
A80
A82
A83
A84
A85
A86
A87
A88
A89
A90
A91
A92
A93
A94
A95
A96
A97
A99
B01
B02
B03
B04
B05
B06
B07
B08
B09
B10
B11
B12
B13
B14
B15
B16
B17
B18
B19
B20
B21
B22
B23
B24
B27
B28
B29
B30
B31
B32
B33
B34
B35
B36
B37
B38
B39
C01
C02
C03
C04
C06
C07
C08
C09
C10
C11
C12
C13
C14
C15
C16
C17
C18
C19
C20
C21
C22
C23
C24
C25
C26
C27
C28
C29
C30
C31
C32
C33
C34
C35
C36
C37
C38
C39
C40
C41
C42
C43
C44
C45
C46
C47
C48
C50
C51
C52
C53
C54
C55
C56
C57
C58
C59
C60
C61
C62
C63
C64
C65
C66
C69
C72
C73
C74
C75
C76
C77
G10
G11
G12
G13
G14
G15
G16
G17
G18
G19
G20
G21
G22
G23
G24
G25
G26
G27
G30
G31
G32
G33
G34
G35
G36
G37
G38
G39
G40
G41
G42
G43
G44
G45
G46
G47
G48
G49
G50
G51
G53
G54
G59
G60
G61
G62
G63
G64
G65
G70
G80
G81
G82
G83
H01
H02
J72
K31
K51
L10
L11
L14
L15
L16
L17
L19
L20
L21
L22
L23
L24
L25
L26
L27
L28
L30
L31
L32
L33
L34
L35
L36
L37
L38
L39
L43
L44
L45
L46
L47
L48
L50
L51
L53
L54
L56
L59
L60
L61
L62
L63
L64
L69
L70
L71
L72
L77
L79
L80
L81
L82
L83
L85
L86
L90
L91
M01
M02
M03
M05
M06
M07
M08
M10
M11
M12
M13
M14
M15
M16
N01
N04
N05
N08
N09
N13
N14
N16
N19
N20
N22
N23
N24
N26
N27
N28
N32
N33
N34
N37
N44
N45
N47
N48
N49
N51
N52
N54
N55
N56
N57
N58
N59
N60
N61
N62
N63
N65
N66
N67
N68
N72
N73
N75
N78
N79
N80
N82
N85
N86
N87
N88
N89
N90
N91
N92
N93
N94
N95
N96
N97
O02
O03
O04
OT3
OT4
P00
P01
P02
P15
P21
P22
P23
P24
P25
P26
P27
P29
P35
PP0
Q02
Q06
R30
R50
T00
