country_name,country_iso3,country_code,long_name,income_group,lending_category,region,currency_unit
Sierra Leone,SLE,694,Republic of Sierra Leone,Low income,IDA,Sub-Saharan Africa,Sierra Leonean leone
Singapore,SGP,702,Republic of Singapore,High income,NULL,East Asia & Pacific,Singapore dollar
Slovak Republic,SVK,703,Slovak Republic,High income,NULL,Europe & Central Asia,Euro
Slovenia,SVN,705,Republic of Slovenia,High income,NULL,Europe & Central Asia,Euro
Solomon Islands,SLB,090,Solomon Islands,Lower middle income,IDA,East Asia & Pacific,Solomon Islands dollar
Somalia,SOM,706,Somali Democratic Republic,Low income,IDA,Sub-Saharan Africa,Somali shilling
South Africa,ZAF,710,Republic of South Africa,Upper middle income,IBRD,Sub-Saharan Africa,South African rand
South Asia,SAS,SAS,South Asia,Others,NULL,NULL,NULL
South Georgia and the South Sa,SGS,239,NULL,Others,NULL,NULL,NULL
South Sudan,SSD,728,Republic of South Sudan,Low income,IDA,Sub-Saharan Africa,South Sudanese Pound
Soviet Union,SVU,810,NULL,Others,NULL,NULL,NULL
Spain,ESP,724,Kingdom of Spain,High income,NULL,Europe & Central Asia,Euro
Special Categories,SPE,839,NULL,Others,NULL,NULL,NULL
Sri Lanka,LKA,144,Democratic Socialist Republic of Sri Lanka,Upper middle income,IBRD,South Asia,Sri Lankan rupee
St. Kitts and Nevis,KNA,659,St. Kitts and Nevis,High income,IBRD,Latin America & Caribbean,East Caribbean dollar
St. Lucia,LCA,662,St. Lucia,Upper middle income,Blend,Latin America & Caribbean,East Caribbean dollar
St. Vincent and the Grenadines,VCT,670,St. Vincent and the Grenadines,Upper middle income,Blend,Latin America & Caribbean,East Caribbean dollar
Sub-Saharan Africa,SSF,SSF,Sub-Saharan Africa,Others,NULL,NULL,NULL
Sudan,SUD,729,NULL,Others,NULL,NULL,NULL
Suriname,SUR,740,Republic of Suriname,Upper middle income,IBRD,Latin America & Caribbean,Suriname dollar
Sweden,SWE,752,Kingdom of Sweden,High income,NULL,Europe & Central Asia,Swedish krona
Switzerland,CHE,756,Switzerland,High income,NULL,Europe & Central Asia,Swiss franc
Syrian Arab Republic,SYR,760,Syrian Arab Republic,Low income,IDA,Middle East & North Africa,Syrian pound
Tajikistan,TJK,762,Republic of Tajikistan,Low income,IDA,Europe & Central Asia,Tajik somoni
Tanzania,TZA,834,United Republic of Tanzania,Low income,IDA,Sub-Saharan Africa,Tanzanian shilling
Thailand,THA,764,Kingdom of Thailand,Upper middle income,IBRD,East Asia & Pacific,Thai baht
Togo,TGO,768,Republic of Togo,Low income,IDA,Sub-Saharan Africa,West African CFA franc
Tokelau,TKL,772,NULL,Others,NULL,NULL,NULL
Tonga,TON,776,Kingdom of Tonga,Upper middle income,IDA,East Asia & Pacific,Tongan pa'anga
Trinidad and Tobago,TTO,780,Republic of Trinidad and Tobago,High income,IBRD,Latin America & Caribbean,Trinidad and Tobago dollar
Tunisia,TUN,788,Republic of Tunisia,Lower middle income,IBRD,Middle East & North Africa,Tunisian dinar
Turkey,TUR,792,Republic of Turkey,Upper middle income,IBRD,Europe & Central Asia,New Turkish lira
Turkmenistan,TKM,795,Turkmenistan,Upper middle income,IBRD,Europe & Central Asia,New Turkmen manat
Turks and Caicos Isl.,TCA,796,Turks and Caicos Islands,High income,NULL,Latin America & Caribbean,U.S. dollar
Tuvalu,TUV,798,Tuvalu,Upper middle income,IDA,East Asia & Pacific,Australian dollar
