reporter_codes
004
008
012
028
031
032
036
040
044
048
050
051
052
064
068
070
072
076
084
090
096
100
104
108
112
116
120
124
132
140
144
148
152
156
158
170
174
178
184
188
191
192
196
204
212
214
218
222
226
231
242
258
266
268
270
275
288
308
320
324
328
340
352
356
360
376
384
388
392
398
400
404
410
412
414
417
418
422
426
428
430
434
438
440
450
454
458
462
466
480
484
496
498
499
500
504
508
512
516
524
548
554
558
562
566
578
586
591
598
600
604
608
616
624
634
643
646
659
662
666
670
682
686
690
694
702
704
705
710
716
736
740
748
756
760
762
764
768
780
784
792
798
800
804
807
818
826
834
840
854
858
860
862
876
891
894
918
